Date,No_of_calls_from_commercial_card
1/1/2017,264.0
1/2/2017,528.0
1/3/2017,2505.0
1/4/2017,2145.0
1/5/2017,2164.0
1/6/2017,1787.0
1/7/2017,464.0
1/8/2017,505.0
1/9/2017,2107.0
1/10/2017,2283.0
1/11/2017,2119.0
1/12/2017,2061.0
1/13/2017,1833.0
1/14/2017,429.0
1/15/2017,459.0
1/16/2017,1681.0
1/17/2017,2246.0
1/18/2017,2007.0
1/19/2017,2133.0
1/20/2017,1920.0
1/21/2017,539.0
1/22/2017,524.0
1/23/2017,2443.0
1/24/2017,2082.0
1/25/2017,2024.0
1/26/2017,1873.0
1/27/2017,1753.0
1/28/2017,410.0
1/29/2017,591.0
1/30/2017,2268.0
1/31/2017,2092.0
2/1/2017,2323.0
2/2/2017,1873.0
2/3/2017,1808.0
2/4/2017,453.0
2/5/2017,531.0
2/6/2017,2262.0
2/7/2017,1945.0
2/8/2017,1929.0
2/9/2017,1700.0
2/10/2017,1643.0
2/11/2017,482.0
2/12/2017,517.0
2/13/2017,2081.0
2/14/2017,1828.0
2/15/2017,1784.0
2/16/2017,1923.0
2/17/2017,1761.0
2/18/2017,440.0
2/19/2017,515.0
2/20/2017,1644.0
2/21/2017,2058.0
2/22/2017,1882.0
2/23/2017,1843.0
2/24/2017,1703.0
2/25/2017,477.0
2/26/2017,520.0
2/27/2017,2217.0
2/28/2017,2034.0
3/1/2017,2105.0
3/2/2017,2089.0
3/3/2017,1941.0
3/4/2017,442.0
3/5/2017,527.0
3/6/2017,2198.0
3/7/2017,1966.0
3/8/2017,1807.0
3/9/2017,1688.0
3/10/2017,1533.0
3/11/2017,422.0
3/12/2017,459.0
3/13/2017,1917.0
3/14/2017,1746.0
3/15/2017,1697.0
3/16/2017,1608.0
3/17/2017,1510.0
3/18/2017,424.0
3/19/2017,507.0
3/20/2017,2042.0
3/21/2017,1994.0
3/22/2017,1774.0
3/23/2017,1765.0
3/24/2017,1679.0
3/25/2017,435.0
3/26/2017,470.0
3/27/2017,2091.0
3/28/2017,1885.0
3/29/2017,1826.0
3/30/2017,1886.0
3/31/2017,1785.0
4/1/2017,416.0
4/2/2017,564.0
4/3/2017,2681.0
4/4/2017,2146.0
4/5/2017,1983.0
4/6/2017,1813.0
4/7/2017,1682.0
4/8/2017,396.0
4/9/2017,486.0
4/10/2017,1979.0
4/11/2017,1779.0
4/12/2017,1629.0
4/13/2017,1606.0
4/14/2017,1130.0
4/15/2017,343.0
4/16/2017,325.0
4/17/2017,2072.0
4/18/2017,1941.0
4/19/2017,1766.0
4/20/2017,1786.0
4/21/2017,1687.0
4/22/2017,504.0
4/23/2017,522.0
4/24/2017,2224.0
4/25/2017,2067.0
4/26/2017,2009.0
4/27/2017,1900.0
4/28/2017,1842.0
4/29/2017,518.0
4/30/2017,566.0
5/1/2017,2418.0
5/2/2017,2324.0
5/3/2017,2134.0
5/4/2017,1904.0
5/5/2017,1702.0
5/6/2017,449.0
5/7/2017,494.0
5/8/2017,1981.0
5/9/2017,1743.0
5/10/2017,1775.0
5/11/2017,1735.0
5/12/2017,1688.0
5/13/2017,450.0
5/14/2017,438.0
5/15/2017,2112.0
5/16/2017,1853.0
5/17/2017,1778.0
5/18/2017,1758.0
5/19/2017,1670.0
5/20/2017,432.0
5/21/2017,468.0
5/22/2017,2132.0
5/23/2017,2044.0
5/24/2017,1950.0
5/25/2017,1751.0
5/26/2017,1593.0
5/27/2017,356.0
5/28/2017,341.0
5/29/2017,378.0
5/30/2017,2154.0
5/31/2017,1909.0
6/1/2017,2166.0
