Date,No_of_calls_from_commercial_card,No_of_calls_from_retail_card,No_of_calls_from_student_card
1/1/2017,264.0,403.0,860.0
1/2/2017,528.0,792.0,1681.0
1/3/2017,2505.0,3774.0,7639.0
1/4/2017,2145.0,3236.0,6513.0
1/5/2017,2164.0,3265.0,6604.0
1/6/2017,1787.0,2697.0,5482.0
1/7/2017,464.0,715.0,1449.0
1/8/2017,505.0,758.0,1574.0
1/9/2017,2107.0,3172.0,6423.0
1/10/2017,2283.0,3436.0,6940.0
1/11/2017,2119.0,3190.0,6467.0
1/12/2017,2061.0,3102.0,6282.0
1/13/2017,1833.0,2769.0,5571.0
1/14/2017,429.0,652.0,1347.0
1/15/2017,459.0,705.0,1481.0
1/16/2017,1681.0,2539.0,5123.0
1/17/2017,2246.0,3376.0,6847.0
1/18/2017,2007.0,3028.0,6105.0
1/19/2017,2133.0,3204.0,6432.0
1/20/2017,1920.0,2896.0,5817.0
1/21/2017,539.0,812.0,1682.0
1/22/2017,524.0,786.0,1588.0
1/23/2017,2443.0,3683.0,7422.0
1/24/2017,2082.0,3130.0,6339.0
1/25/2017,2024.0,3041.0,6108.0
1/26/2017,1873.0,2812.0,5675.0
1/27/2017,1753.0,2642.0,5302.0
1/28/2017,410.0,621.0,1337.0
1/29/2017,591.0,902.0,1874.0
1/30/2017,2268.0,3411.0,6916.0
1/31/2017,2092.0,3153.0,6327.0
2/1/2017,2323.0,3494.0,7058.0
2/2/2017,1873.0,2827.0,5692.0
2/3/2017,1808.0,2719.0,5483.0
2/4/2017,453.0,688.0,1378.0
2/5/2017,531.0,811.0,1652.0
2/6/2017,2262.0,3394.0,6810.0
2/7/2017,1945.0,2932.0,5931.0
2/8/2017,1929.0,2900.0,5850.0
2/9/2017,1700.0,2554.0,5140.0
2/10/2017,1643.0,2484.0,5032.0
2/11/2017,482.0,723.0,1524.0
2/12/2017,517.0,791.0,1628.0
2/13/2017,2081.0,3140.0,6364.0
2/14/2017,1828.0,2746.0,5558.0
2/15/2017,1784.0,2688.0,5461.0
2/16/2017,1923.0,2899.0,5860.0
2/17/2017,1761.0,2656.0,5379.0
2/18/2017,440.0,672.0,1416.0
2/19/2017,515.0,785.0,1667.0
2/20/2017,1644.0,2469.0,5024.0
2/21/2017,2058.0,3095.0,6280.0
2/22/2017,1882.0,2829.0,5683.0
2/23/2017,1843.0,2768.0,5620.0
2/24/2017,1703.0,2572.0,5192.0
2/25/2017,477.0,727.0,1539.0
2/26/2017,520.0,799.0,1625.0
2/27/2017,2217.0,3329.0,6734.0
2/28/2017,2034.0,3067.0,6173.0
3/1/2017,2105.0,3176.0,6370.0
3/2/2017,2089.0,3137.0,6302.0
3/3/2017,1941.0,2915.0,5919.0
3/4/2017,442.0,681.0,1400.0
3/5/2017,527.0,808.0,1712.0
3/6/2017,2198.0,3315.0,6712.0
3/7/2017,1966.0,2952.0,5998.0
3/8/2017,1807.0,2725.0,5485.0
3/9/2017,1688.0,2541.0,5172.0
3/10/2017,1533.0,2309.0,4715.0
3/11/2017,422.0,649.0,1326.0
