Date,No_of_calls_from_commercial_card,No_of_calls_from_retail_card,No_of_calls_from_student_card
2017-01-01,264.0,403.0,860.0
2017-01-02,528.0,792.0,1681.0
2017-01-03,2505.0,3774.0,7639.0
2017-01-04,2145.0,3236.0,6513.0
2017-01-05,2164.0,3265.0,6604.0
2017-01-06,1787.0,2697.0,5482.0
2017-01-07,464.0,715.0,1449.0
2017-01-08,505.0,758.0,1574.0
2017-01-09,2107.0,3172.0,6423.0
2017-01-10,2283.0,3436.0,6940.0
2017-01-11,2119.0,3190.0,6467.0
2017-01-12,2061.0,3102.0,6282.0
2017-01-13,1833.0,2769.0,5571.0
2017-01-14,429.0,652.0,1347.0
2017-01-15,459.0,705.0,1481.0
2017-01-16,1681.0,2539.0,5123.0
2017-01-17,2246.0,3376.0,6847.0
2017-01-18,2007.0,3028.0,6105.0
2017-01-19,2133.0,3204.0,6432.0
2017-01-20,1920.0,2896.0,5817.0
2017-01-21,539.0,812.0,1682.0
2017-01-22,524.0,786.0,1588.0
2017-01-23,2443.0,3683.0,7422.0
2017-01-24,2082.0,3130.0,6339.0
2017-01-25,2024.0,3041.0,6108.0
2017-01-26,1873.0,2812.0,5675.0
2017-01-27,1753.0,2642.0,5302.0
2017-01-28,410.0,621.0,1337.0
2017-01-29,591.0,902.0,1874.0
2017-01-30,2268.0,3411.0,6916.0
2017-01-31,2092.0,3153.0,6327.0
2017-02-01,2323.0,3494.0,7058.0
2017-02-02,1873.0,2827.0,5692.0
2017-02-03,1808.0,2719.0,5483.0
2017-02-04,453.0,688.0,1378.0
2017-02-05,531.0,811.0,1652.0
2017-02-06,2262.0,3394.0,6810.0
2017-02-07,1945.0,2932.0,5931.0
2017-02-08,1929.0,2900.0,5850.0
2017-02-09,1700.0,2554.0,5140.0
2017-02-10,1643.0,2484.0,5032.0
2017-02-11,482.0,723.0,1524.0
2017-02-12,517.0,791.0,1628.0
2017-02-13,2081.0,3140.0,6364.0
2017-02-14,1828.0,2746.0,5558.0
2017-02-15,1784.0,2688.0,5461.0
2017-02-16,1923.0,2899.0,5860.0
2017-02-17,1761.0,2656.0,5379.0
2017-02-18,440.0,672.0,1416.0
2017-02-19,515.0,785.0,1667.0
2017-02-20,1644.0,2469.0,5024.0
2017-02-21,2058.0,3095.0,6280.0
2017-02-22,1882.0,2829.0,5683.0
2017-02-23,1843.0,2768.0,5620.0
2017-02-24,1703.0,2572.0,5192.0
2017-02-25,477.0,727.0,1539.0
2017-02-26,520.0,799.0,1625.0
2017-02-27,2217.0,3329.0,6734.0
2017-02-28,2034.0,3067.0,6173.0
2017-03-01,2105.0,3176.0,6370.0
2017-03-02,2089.0,3137.0,6302.0
2017-03-03,1941.0,2915.0,5919.0
2017-03-04,442.0,681.0,1400.0
2017-03-05,527.0,808.0,1712.0
2017-03-06,2198.0,3315.0,6712.0
2017-03-07,1966.0,2952.0,5998.0
2017-03-08,1807.0,2725.0,5485.0
2017-03-09,1688.0,2541.0,5172.0
2017-03-10,1533.0,2309.0,4715.0
2017-03-11,422.0,649.0,1326.0
2017-03-12,459.0,706.0,1440.0
2017-03-13,1917.0,2890.0,5854.0
2017-03-14,1746.0,2630.0,5303.0
2017-03-15,1697.0,2552.0,5161.0
2017-03-16,1608.0,2419.0,4934.0
2017-03-17,1510.0,2273.0,4561.0
2017-03-18,424.0,649.0,1301.0
2017-03-19,507.0,777.0,1649.0
2017-03-20,2042.0,3075.0,6172.0
2017-03-21,1994.0,2998.0,6003.0
2017-03-22,1774.0,2678.0,5440.0
2017-03-23,1765.0,2656.0,5337.0
2017-03-24,1679.0,2538.0,5156.0
2017-03-25,435.0,655.0,1398.0
2017-03-26,470.0,708.0,1456.0
2017-03-27,2091.0,3143.0,6349.0
2017-03-28,1885.0,2836.0,5679.0
2017-03-29,1826.0,2756.0,5567.0
2017-03-30,1886.0,2831.0,5683.0
2017-03-31,1785.0,2695.0,5444.0
2017-04-01,416.0,631.0,1266.0
2017-04-02,564.0,858.0,1763.0
2017-04-03,2681.0,4033.0,8084.0
2017-04-04,2146.0,3228.0,6478.0
2017-04-05,1983.0,2992.0,6015.0
2017-04-06,1813.0,2725.0,5491.0
2017-04-07,1682.0,2529.0,5069.0
2017-04-08,396.0,604.0,1245.0
2017-04-09,486.0,736.0,1563.0
2017-04-10,1979.0,2972.0,6010.0
2017-04-11,1779.0,2677.0,5363.0
2017-04-12,1629.0,2451.0,4949.0
2017-04-13,1606.0,2428.0,4875.0
2017-04-14,1130.0,1713.0,3489.0
2017-04-15,343.0,528.0,1096.0
2017-04-16,325.0,488.0,977.0
2017-04-17,2072.0,3126.0,6274.0
2017-04-18,1941.0,2923.0,5875.0
2017-04-19,1766.0,2667.0,5392.0
2017-04-20,1786.0,2680.0,5384.0
2017-04-21,1687.0,2546.0,5107.0
2017-04-22,504.0,775.0,1600.0
2017-04-23,522.0,793.0,1680.0
2017-04-24,2224.0,3346.0,6787.0
2017-04-25,2067.0,3107.0,6308.0
2017-04-26,2009.0,3027.0,6073.0
2017-04-27,1900.0,2853.0,5737.0
2017-04-28,1842.0,2767.0,5545.0
2017-04-29,518.0,795.0,1640.0
2017-04-30,566.0,852.0,1706.0
2017-05-01,2418.0,3633.0,7284.0
2017-05-02,2324.0,3505.0,7031.0
2017-05-03,2134.0,3219.0,6474.0
2017-05-04,1904.0,2866.0,5754.0
2017-05-05,1702.0,2569.0,5138.0
2017-05-06,449.0,687.0,1468.0
2017-05-07,494.0,744.0,1557.0
2017-05-08,1981.0,2983.0,6061.0
2017-05-09,1743.0,2630.0,5323.0
