Date,No_of_calls_from_commercial_card,No_of_calls_from_retail_card,No_of_calls_from_student_card
1/1/2017,264,403,860
1/2/2017,528,792,1681
1/3/2017,2505,3774,7639
1/4/2017,2145,3236,6513
1/5/2017,2164,3265,6604
1/6/2017,1787,2697,5482
1/7/2017,464,715,1449
1/8/2017,505,758,1574
1/9/2017,2107,3172,6423
1/10/2017,2283,3436,6940
1/11/2017,2119,3190,6467
1/12/2017,2061,3102,6282
1/13/2017,1833,2769,5571
1/14/2017,429,652,1347
1/15/2017,459,705,1481
1/16/2017,1681,2539,5123
1/17/2017,2246,3376,6847
1/18/2017,2007,3028,6105
1/19/2017,2133,3204,6432
1/20/2017,1920,2896,5817
1/21/2017,539,812,1682
1/22/2017,524,786,1588
1/23/2017,2443,3683,7422
1/24/2017,2082,3130,6339
1/25/2017,2024,3041,6108
1/26/2017,1873,2812,5675
1/27/2017,1753,2642,5302
1/28/2017,410,621,1337
1/29/2017,591,902,1874
1/30/2017,2268,3411,6916
1/31/2017,2092,3153,6327
2/1/2017,2323,3494,7058
2/2/2017,1873,2827,5692
2/3/2017,1808,2719,5483
2/4/2017,453,688,1378
2/5/2017,531,811,1652
2/6/2017,2262,3394,6810
2/7/2017,1945,2932,5931
2/8/2017,1929,2900,5850
2/9/2017,1700,2554,5140
2/10/2017,1643,2484,5032
2/11/2017,482,723,1524
2/12/2017,517,791,1628
2/13/2017,2081,3140,6364
2/14/2017,1828,2746,5558
2/15/2017,1784,2688,5461
2/16/2017,1923,2899,5860
2/17/2017,1761,2656,5379
2/18/2017,440,672,1416
2/19/2017,515,785,1667
2/20/2017,1644,2469,5024
2/21/2017,2058,3095,6280
2/22/2017,1882,2829,5683
2/23/2017,1843,2768,5620
2/24/2017,1703,2572,5192
2/25/2017,477,727,1539
2/26/2017,520,799,1625
2/27/2017,2217,3329,6734
2/28/2017,2034,3067,6173
3/1/2017,2105,3176,6370
3/2/2017,2089,3137,6302
3/3/2017,1941,2915,5919
3/4/2017,442,681,1400
3/5/2017,527,808,1712
3/6/2017,2198,3315,6712
3/7/2017,1966,2952,5998
3/8/2017,1807,2725,5485
3/9/2017,1688,2541,5172
3/10/2017,1533,2309,4715
3/11/2017,422,649,1326
3/12/2017,459,706,1440
3/13/2017,1917,2890,5854
3/14/2017,1746,2630,5303
3/15/2017,1697,2552,5161
3/16/2017,1608,2419,4934
3/17/2017,1510,2273,4561
3/18/2017,424,649,1301
3/19/2017,507,777,1649
3/20/2017,2042,3075,6172
3/21/2017,1994,2998,6003
3/22/2017,1774,2678,5440
3/23/2017,1765,2656,5337
3/24/2017,1679,2538,5156
3/25/2017,435,655,1398
3/26/2017,470,708,1456
3/27/2017,2091,3143,6349
3/28/2017,1885,2836,5679
3/29/2017,1826,2756,5567
3/30/2017,1886,2831,5683
3/31/2017,1785,2695,5444
4/1/2017,416,631,1266
4/2/2017,564,858,1763
4/3/2017,2681,4033,8084
4/4/2017,2146,3228,6478
4/5/2017,1983,2992,6015
4/6/2017,1813,2725,5491
4/7/2017,1682,2529,5069
4/8/2017,396,604,1245
4/9/2017,486,736,1563
4/10/2017,1979,2972,6010
4/11/2017,1779,2677,5363
4/12/2017,1629,2451,4949
4/13/2017,1606,2428,4875
4/14/2017,1130,1713,3489
4/15/2017,343,528,1096
4/16/2017,325,488,977
4/17/2017,2072,3126,6274
4/18/2017,1941,2923,5875
4/19/2017,1766,2667,5392
4/20/2017,1786,2680,5384
4/21/2017,1687,2546,5107
4/22/2017,504,775,1600
4/23/2017,522,793,1680
4/24/2017,2224,3346,6787
4/25/2017,2067,3107,6308
4/26/2017,2009,3027,6073
4/27/2017,1900,2853,5737
4/28/2017,1842,2767,5545
4/29/2017,518,795,1640
4/30/2017,566,852,1706
5/1/2017,2418,3633,7284
5/2/2017,2324,3505,7031
5/3/2017,2134,3219,6474
5/4/2017,1904,2866,5754
5/5/2017,1702,2569,5138
5/6/2017,449,687,1468
5/7/2017,494,744,1557
5/8/2017,1981,2983,6061
5/9/2017,1743,2630,5323
5/10/2017,1775,2665,5379
5/11/2017,1735,2617,5315
5/12/2017,1688,2539,5127
5/13/2017,450,685,1393
5/14/2017,438,667,1392
5/15/2017,2112,3169,6363
5/16/2017,1853,2789,5603
5/17/2017,1778,2679,5436
5/18/2017,1758,2643,5379
5/19/2017,1670,2519,5117
5/20/2017,432,653,1378
5/21/2017,468,721,1478
5/22/2017,2132,3207,6487
5/23/2017,2044,3073,6195
5/24/2017,1950,2943,5968
5/25/2017,1751,2632,5291
5/26/2017,1593,2408,4876
5/27/2017,356,535,1164
5/28/2017,341,525,1062
5/29/2017,378,584,1168
5/30/2017,2154,3244,6587
5/31/2017,1909,2869,5812
6/1/2017,2166,3260,6528
6/2/2017,1813,2729,5554
6/3/2017,461,711,1439
6/4/2017,508,778,1592
6/5/2017,2235,3354,6774
6/6/2017,1946,2936,5919
6/7/2017,1772,2675,5412
6/8/2017,1690,2546,5136
6/9/2017,1479,2220,4451
6/10/2017,447,677,1396
6/11/2017,464,698,1415
6/12/2017,2010,3019,6095
6/13/2017,1849,2793,5620
6/14/2017,1679,2538,5149
6/15/2017,1750,2643,5349
6/16/2017,1703,2563,5193
6/17/2017,412,619,1269
6/18/2017,473,723,1539
6/19/2017,2097,3154,6324
6/20/2017,1909,2882,5783
6/21/2017,1956,2935,5963
6/22/2017,1849,2774,5609
6/23/2017,1714,2573,5229
6/24/2017,532,809,1679
6/25/2017,578,867,1747
6/26/2017,2242,3376,6757
6/27/2017,2169,3257,6606
6/28/2017,1968,2967,5956
6/29/2017,1968,2963,5982
6/30/2017,1680,2535,5158
7/1/2017,394,595,1248
7/2/2017,338,513,1056
7/3/2017,1436,2159,4408
7/4/2017,263,398,801
7/5/2017,2043,3078,6247
7/6/2017,1943,2933,5871
7/7/2017,1729,2594,5215
7/8/2017,409,619,1286
7/9/2017,485,728,1529
7/10/2017,2051,3081,6177
7/11/2017,1977,2974,5993
7/12/2017,1833,2758,5536
7/13/2017,1705,2563,5144
7/14/2017,1585,2385,4782
7/15/2017,493,757,1577
7/16/2017,493,754,1574
7/17/2017,2061,3109,6258
7/18/2017,1941,2924,5915
7/19/2017,1739,2621,5265
7/20/2017,1687,2545,5185
7/21/2017,1736,2615,5257
7/22/2017,546,836,1759
7/23/2017,493,758,1545
7/24/2017,2080,3122,6278
7/25/2017,1891,2845,5760
7/26/2017,1935,2920,5921
7/27/2017,1545,2331,4689
7/28/2017,1474,2222,4520
7/29/2017,405,610,1264
7/30/2017,444,671,1428
7/31/2017,1963,2952,5976
8/1/2017,2148,3230,6481
8/2/2017,1923,2888,5837
8/3/2017,1733,2610,5284
8/4/2017,1651,2477,5016
8/5/2017,389,585,1231
8/6/2017,411,636,1288
8/7/2017,1859,2793,5608
8/8/2017,1704,2556,5158
8/9/2017,1591,2400,4841
8/10/2017,1462,2197,4476
8/11/2017,1467,2203,4445
8/12/2017,435,669,1349
8/13/2017,408,630,1305
8/14/2017,1650,2482,4971
8/15/2017,1581,2380,4774
8/16/2017,1613,2427,4917
8/17/2017,1592,2392,4806
8/18/2017,1490,2249,4503
8/19/2017,377,573,1219
8/20/2017,387,584,1217
8/21/2017,1712,2577,5253
8/22/2017,1762,2645,5387
8/23/2017,1670,2517,5133
8/24/2017,1585,2388,4867
8/25/2017,1546,2322,4649
8/26/2017,430,645,1369
8/27/2017,447,687,1381
8/28/2017,1892,2850,5727
